Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
0,1670978775.635,55.4,13.9,0.0,0,0,29
2,1670979095.969,55.9,13.9,0.0,0,0,28
3,1670979125.998,53.2,15.0,0.0,95,65,42
4,1670979156.027,55.6,15.0,0.0,95,64,50
5,1670979186.056,55.2,15.0,0.0,95,65,56
6,1670979216.084,55.2,15.0,0.0,95,65,59
7,1670979246.113,55.4,15.0,0.0,95,65,61
8,1670979276.142,55.5,15.0,0.0,98,65,63
9,1670979306.171,55.5,15.0,0.0,96,66,65
10,1670979336.199,53.9,15.5,0.0,95,65,65
11,1670979366.228,55.3,15.6,0.0,95,65,65
12,1670979396.26,55.6,15.6,0.0,94,63,65
13,1670979426.294,55.7,15.7,0.0,95,65,66
14,1670979456.323,55.8,15.7,0.0,96,61,66
15,1670979486.352,55.4,15.8,0.0,97,68,66
16,1670979516.381,46.4,13.4,0.0,97,65,66
17,1670979546.409,39.0,13.3,0.0,95,60,68
18,1670979576.438,39.5,13.3,0.0,97,66,68
19,1670979606.467,39.3,13.4,0.0,96,66,69
20,1670979636.496,39.3,13.5,0.0,97,68,69
21,1670979666.525,41.2,14.4,0.0,97,67,70
22,1670979696.554,53.9,14.4,0.0,97,68,69
23,1670979726.582,42.2,12.0,0.0,98,68,70
24,1670979756.611,38.9,12.0,0.0,98,66,69
25,1670979786.64,39.6,12.0,0.0,99,65,70
26,1670979816.671,38.8,12.0,0.0,98,65,70
27,1670979846.7,38.6,12.0,0.0,98,68,70
28,1670979876.728,38.8,12.0,0.0,98,67,70
29,1670979906.757,38.6,12.0,0.0,99,65,70
30,1670979936.785,38.6,12.0,0.0,98,67,70
31,1670979966.815,43.4,12.0,0.0,96,65,70
32,1670979996.855,47.0,12.1,0.0,98,67,69
33,1670980026.873,46.3,12.8,0.0,97,69,70
34,1670980056.901,54.7,12.8,0.0,97,64,69
35,1670980086.93,54.4,12.8,0.0,98,68,68
36,1670980116.959,54.6,12.8,0.0,97,68,67
37,1670980146.988,44.4,13.6,0.0,98,68,68
38,1670980177.017,54.9,13.6,0.0,97,68,69
39,1670980207.055,54.8,13.6,0.0,97,68,69
40,1670980237.087,54.9,13.6,0.0,97,66,69
41,1670980267.116,54.9,13.6,0.0,97,65,69
42,1670980297.147,54.7,13.6,0.0,99,61,69
43,1670980327.175,54.9,13.6,0.0,96,64,69
44,1670980357.204,54.8,13.6,0.0,99,63,70
45,1670980387.234,54.9,12.3,0.0,99,62,69
46,1670980417.264,54.3,12.4,0.0,97,63,70
47,1670980447.293,54.6,12.3,0.0,97,66,68
48,1670980477.322,54.8,12.4,0.0,93,66,69
49,1670980507.351,55.7,11.6,0.0,96,62,69
50,1670980537.38,54.4,11.5,0.0,97,64,69
51,1670980567.409,54.5,11.6,0.0,97,64,69
52,1670980597.438,54.7,11.6,0.0,97,60,69
53,1670980627.467,54.5,11.6,0.0,97,61,70
54,1670980657.496,54.6,11.6,0.0,97,64,70
55,1670980687.525,57.6,12.4,0.0,96,65,69
56,1670980717.554,70.2,12.5,0.0,96,66,69
57,1670980747.583,74.4,13.3,0.0,97,68,68
58,1670980777.612,85.7,13.3,0.0,96,67,68
59,1670980807.641,85.8,13.3,0.0,96,67,68
60,1670980837.672,85.7,13.3,0.0,94,62,68
61,1670980867.701,85.6,13.3,0.0,97,68,68
62,1670980897.73,85.7,13.3,0.0,97,67,68
63,1670980927.763,85.8,13.3,0.0,93,63,69
64,1670980957.792,85.6,13.3,0.0,95,65,69
65,1670980987.821,85.9,13.3,0.0,94,62,68
66,1670981017.856,85.6,13.3,0.0,94,62,69
67,1670981047.885,85.7,13.3,0.0,94,62,68
68,1670981077.914,85.5,13.3,0.0,96,62,68
69,1670981107.95,74.4,14.2,0.0,97,63,69
70,1670981138.001,86.2,14.1,0.0,97,60,69
71,1670981168.026,86.3,14.1,0.0,93,64,69
72,1670981198.059,86.2,14.1,0.0,96,67,68
73,1670981228.089,86.2,14.1,0.0,90,62,68
74,1670981258.118,86.2,14.1,0.0,95,65,68
75,1670981288.147,76.1,14.9,0.0,88,55,68
76,1670981318.175,86.6,14.9,0.0,96,63,68
77,1670981348.204,86.6,14.8,0.0,94,60,68
78,1670981378.235,86.5,14.8,0.0,95,66,68
79,1670981408.266,86.8,14.8,0.0,94,64,68
80,1670981438.301,86.6,14.8,0.0,97,64,68
81,1670981468.33,86.4,14.8,0.0,95,65,68
82,1670981498.359,86.7,14.8,0.0,94,64,68
83,1670981528.393,86.6,14.8,0.0,97,69,68
84,1670981558.422,86.7,14.8,0.0,96,61,68
85,1670981588.451,86.6,14.8,0.0,93,60,68
86,1670981618.48,86.4,14.8,0.0,95,66,68
87,1670981648.52,86.6,14.8,0.0,94,64,67
88,1670981678.549,86.7,14.8,0.0,96,63,68
89,1670981708.578,86.5,14.8,0.0,95,65,68
90,1670981738.606,86.5,14.8,0.0,94,64,68
91,1670981768.635,86.4,14.8,0.0,94,62,68
92,1670981798.664,86.6,14.8,0.0,94,64,68
93,1670981828.694,86.6,14.8,0.0,94,65,68
94,1670981858.723,86.4,14.8,0.0,97,69,68
95,1670981888.752,86.6,14.8,0.0,94,63,68
96,1670981918.781,86.3,14.8,0.0,94,60,67
97,1670981948.809,86.5,14.8,0.0,93,64,68
98,1670981978.846,86.3,14.8,0.0,97,68,68
99,1670982008.879,86.5,14.8,0.0,94,64,67
100,1670982038.917,86.3,14.8,0.0,88,60,68
101,1670982068.946,86.5,14.8,0.0,93,64,68
102,1670982098.975,86.5,14.8,0.0,97,68,68
103,1670982129.004,86.5,14.8,0.0,94,58,67
104,1670982159.033,86.6,14.8,0.0,93,61,68
105,1670982189.062,76.4,15.6,0.0,95,59,68
106,1670982219.091,86.7,15.6,0.0,94,65,67
107,1670982249.127,87.1,15.6,0.0,96,60,68
108,1670982279.163,87.1,15.6,0.0,96,67,68
109,1670982309.192,87.1,15.6,0.0,93,61,68
110,1670982339.23,87.0,15.6,0.0,93,64,67
111,1670982369.259,86.9,15.6,0.0,96,67,68
112,1670982399.288,86.9,15.6,0.0,94,62,68
