Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
117,1670982555.373,16.5,12.9,0.0,95,65,71
118,1670982585.391,16.3,12.9,0.0,96,65,70
119,1670982615.427,16.6,12.9,0.0,96,65,71
120,1670982645.463,16.5,12.9,0.0,0,0,67
121,1670982675.492,16.3,12.9,0.0,96,60,70
122,1670982705.52,16.7,12.9,0.0,95,65,71
123,1670982735.55,16.5,12.9,0.0,96,63,71
124,1670982765.579,16.4,12.7,0.0,97,68,70
125,1670982795.607,16.6,12.9,0.0,96,62,71
126,1670982825.636,16.4,13.0,0.0,98,69,71
127,1670982855.665,16.5,13.0,0.0,98,61,70
128,1670982885.694,16.5,12.9,0.0,97,67,71
129,1670982915.723,16.5,12.9,0.0,96,64,71
130,1670982945.757,16.5,13.0,0.0,97,68,70
131,1670982975.788,16.4,12.9,0.0,91,62,71
132,1670983005.817,16.5,13.0,0.0,98,68,71
133,1670983035.856,16.5,13.0,0.0,98,60,70
134,1670983065.884,16.3,13.0,0.0,97,67,71
135,1670983095.913,16.6,13.0,0.0,95,64,70
136,1670983125.942,17.1,13.0,0.0,96,65,70
137,1670983155.971,21.3,15.5,0.0,95,63,70
138,1670983186.01,51.1,15.5,0.0,97,61,70
139,1670983216.038,64.4,15.5,0.0,96,67,71
140,1670983246.068,63.6,15.3,0.0,95,60,70
141,1670983276.097,64.0,15.6,0.0,98,69,70
142,1670983306.126,63.9,15.6,0.0,97,60,70
143,1670983336.163,64.2,15.6,0.0,95,65,70
144,1670983366.192,63.7,15.6,0.0,97,64,70
145,1670983396.23,63.9,15.6,0.0,95,65,70
146,1670983426.265,64.0,15.6,0.0,95,64,70
147,1670983456.294,63.6,15.7,0.0,97,68,70
148,1670983486.323,64.2,15.6,0.0,97,60,70
149,1670983516.351,63.8,15.6,0.0,96,67,70
150,1670983546.381,63.8,15.5,0.0,95,62,70
151,1670983576.41,63.6,15.6,0.0,96,67,70
152,1670983606.447,64.1,15.6,0.0,97,64,70
153,1670983636.482,64.0,15.6,0.0,95,64,70
154,1670983666.514,63.9,15.6,0.0,97,61,70
155,1670983696.55,64.0,15.6,0.0,94,64,70
156,1670983726.579,63.9,15.7,0.0,94,62,70
157,1670983756.608,64.0,15.7,0.0,95,65,70
158,1670983786.639,63.9,15.6,0.0,94,63,70
159,1670983816.668,63.9,15.6,0.0,95,61,70
160,1670983846.697,63.7,15.6,0.0,97,67,70
161,1670983876.732,64.0,15.6,0.0,97,64,70
162,1670983906.766,63.9,15.6,0.0,97,67,70
163,1670983936.794,64.1,15.6,0.0,97,61,70
164,1670983966.822,64.0,15.6,0.0,97,61,69
165,1670983996.851,63.9,15.6,0.0,95,66,70
166,1670984026.885,63.5,15.6,0.0,97,60,70
167,1670984056.914,63.5,15.6,0.0,97,68,70
168,1670984086.943,64.1,15.6,0.0,97,61,70
169,1670984116.977,63.6,15.6,0.0,94,65,70
170,1670984147.006,63.9,15.6,0.0,95,62,70
171,1670984177.035,64.0,15.6,0.0,95,65,70
172,1670984207.063,63.9,15.7,0.0,94,62,70
173,1670984237.093,63.1,15.6,0.0,95,64,70
174,1670984267.122,63.7,15.6,0.0,96,65,70
175,1670984297.151,64.0,15.6,0.0,94,64,70
176,1670984327.18,63.9,15.6,0.0,91,62,70
177,1670984357.209,63.8,15.6,0.0,95,64,70
178,1670984387.238,63.8,15.7,0.0,98,68,70
179,1670984417.269,64.1,15.6,0.0,0,0,66
181,1670985411.529,78.0,17.8,0.0,0,0,27
182,1670985441.559,69.7,18.4,0.0,96,68,43
183,1670985471.597,69.4,18.4,0.0,96,68,50
184,1670985501.624,68.4,18.4,0.0,94,64,53
185,1670985531.653,66.9,19.0,0.0,94,63,55
186,1670985561.686,67.7,18.9,0.0,93,64,55
187,1670985591.722,68.8,18.8,0.0,96,60,56
188,1670985621.751,71.1,19.0,0.0,94,64,56
189,1670985651.779,71.5,18.8,0.0,93,64,55
190,1670985681.808,71.5,18.9,0.0,94,64,56
191,1670985711.837,70.4,18.9,0.0,97,69,56
192,1670985741.866,70.0,19.1,0.0,97,68,57
193,1670985771.897,69.4,19.1,0.0,94,64,57
194,1670985801.929,66.4,19.0,0.0,96,68,59
195,1670985831.958,66.1,19.0,0.0,97,68,59
196,1670985861.987,64.7,19.6,0.0,95,61,59
197,1670985892.016,62.6,21.1,0.0,96,63,57
198,1670985922.045,72.7,13.9,0.0,93,62,59
199,1670985952.074,83.3,13.9,0.0,90,62,59
200,1670985982.103,80.4,14.0,0.0,97,68,59
201,1670986012.143,69.0,12.1,0.0,92,64,60
202,1670986042.16,71.2,12.4,0.0,96,60,63
203,1670986072.201,80.7,12.4,0.0,94,62,64
204,1670986102.228,80.7,12.4,0.0,94,65,63
205,1670986132.258,80.6,12.4,0.0,97,68,62
206,1670986162.287,82.0,12.4,0.0,97,68,62
207,1670986192.32,71.1,13.2,0.0,96,63,62
208,1670986222.349,81.2,13.2,0.0,95,60,62
209,1670986252.378,82.2,13.1,0.0,96,60,63
210,1670986282.407,84.4,13.2,0.0,92,64,63
211,1670986312.436,85.4,13.1,0.0,94,59,65
212,1670986342.465,83.6,13.1,0.0,88,61,60
213,1670986372.505,83.8,13.2,0.0,94,64,61
214,1670986402.532,73.8,13.9,0.0,94,60,64
215,1670986432.56,83.6,13.9,0.0,96,59,63
216,1670986462.589,84.4,14.0,0.0,94,62,61
217,1670986492.618,81.7,14.0,0.0,96,67,62
218,1670986522.649,81.8,14.0,0.0,96,68,63
219,1670986552.678,81.7,14.0,0.0,94,62,63
220,1670986582.707,82.9,14.0,0.0,94,59,63
221,1670986612.737,82.3,14.0,0.0,94,58,63
222,1670986642.766,81.6,14.0,0.0,94,63,63
223,1670986672.796,81.6,14.0,0.0,93,64,64
224,1670986702.825,82.4,14.0,0.0,97,68,64
225,1670986732.855,65.1,15.3,0.0,95,66,64
226,1670986762.884,59.4,17.6,0.0,7,0,59
227,1670986792.921,67.2,17.5,0.0,94,65,63
228,1670986822.949,67.4,17.6,0.0,96,60,64
229,1670986852.978,67.6,17.6,0.0,93,62,63
230,1670986883.007,63.6,16.1,0.0,96,67,65
231,1670986913.039,59.8,17.5,0.0,96,67,64
232,1670986943.069,66.9,17.6,0.0,96,69,64
233,1670986973.098,64.7,15.1,0.0,93,63,64
234,1670987003.126,60.0,16.6,0.0,94,62,63
235,1670987033.155,60.0,17.7,0.0,93,62,63
236,1670987063.195,69.7,19.0,0.0,93,59,64
237,1670987093.213,74.1,19.0,0.0,93,64,63
238,1670987123.241,73.3,19.1,0.0,95,66,60
239,1670987153.271,71.3,19.1,0.0,94,62,59
240,1670987183.3,71.7,19.1,0.0,96,63,59
241,1670987213.328,71.6,19.1,0.0,0,0,57
242,1670987243.356,71.1,19.2,0.0,93,64,61
243,1670987273.386,71.8,19.2,0.0,88,60,61
244,1670987303.415,72.0,19.2,0.0,93,62,61
245,1670987333.445,71.5,19.2,0.0,94,59,59
246,1670987363.48,71.0,19.2,0.0,94,63,60
247,1670987393.509,71.2,19.1,0.0,95,67,59
248,1670987423.538,71.5,19.1,0.0,93,62,60
249,1670987453.575,71.7,19.1,0.0,95,59,59
