Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
0,1670978775.625,33.3,14.7,0.0,0,0,27
2,1670979127.373,83.6,9.6,0.0,0,0,29
3,1670979157.403,83.0,10.2,0.0,87,76,40
4,1670979187.442,82.7,10.2,0.0,86,75,46
5,1670979217.471,82.8,10.2,0.0,85,75,49
6,1670979247.5,83.0,10.2,0.0,81,69,51
7,1670979277.529,82.9,10.2,0.0,85,75,53
8,1670979307.558,83.2,10.2,0.0,84,72,54
9,1670979337.593,82.7,10.2,0.0,85,74,54
10,1670979367.622,82.4,10.2,0.0,85,75,55
11,1670979397.65,84.5,10.5,0.0,84,72,55
12,1670979427.686,86.9,10.6,0.0,85,75,55
13,1670979457.715,88.2,11.4,0.0,84,73,55
14,1670979487.744,88.3,11.5,0.0,83,73,53
15,1670979517.773,88.7,10.9,0.0,79,68,54
16,1670979547.805,89.2,11.5,0.0,83,72,54
17,1670979577.835,88.1,11.1,0.0,80,70,55
18,1670979607.864,88.7,11.0,0.0,80,69,55
19,1670979637.893,86.5,11.0,0.0,84,74,55
20,1670979667.922,89.5,11.2,0.0,83,73,55
21,1670979697.954,90.8,11.5,0.0,79,68,55
22,1670979727.984,91.1,11.1,0.0,83,73,55
23,1670979758.015,91.5,11.4,0.0,81,70,55
24,1670979788.045,90.9,11.4,0.0,80,69,55
25,1670979818.075,89.2,11.3,0.0,84,73,52
26,1670979848.11,92.1,11.3,0.0,84,73,54
27,1670979878.142,90.8,11.5,0.0,80,69,55
28,1670979908.171,89.9,11.2,0.0,85,75,55
29,1670979938.2,91.5,11.4,0.0,83,73,55
30,1670979968.228,91.4,11.5,0.0,83,73,55
31,1670979998.262,90.7,11.2,0.0,81,71,55
32,1670980028.308,92.0,11.5,0.0,84,74,55
33,1670980058.317,91.1,11.6,0.0,78,67,55
34,1670980088.346,90.6,11.1,0.0,87,75,55
35,1670980118.375,81.8,12.4,0.0,85,74,55
36,1670980148.404,92.7,12.4,0.0,92,79,56
37,1670980178.433,66.5,13.6,0.0,85,75,55
38,1670980208.469,85.6,14.3,0.0,84,73,55
39,1670980238.498,92.6,14.6,0.0,85,74,54
40,1670980268.527,81.6,14.9,0.0,77,67,54
41,1670980298.555,92.6,15.0,0.0,80,70,54
42,1670980328.589,92.8,15.1,0.0,79,68,53
43,1670980358.618,92.4,15.0,0.0,82,71,53
44,1670980388.646,93.2,15.0,0.0,85,74,53
45,1670980418.675,91.5,15.0,0.0,83,73,53
46,1670980448.71,92.9,14.9,0.0,84,74,52
47,1670980478.74,93.4,14.8,0.0,83,72,52
48,1670980508.768,93.2,14.9,0.0,84,73,52
49,1670980538.797,93.6,15.1,0.0,84,73,52
50,1670980568.831,91.6,14.9,0.0,81,70,52
51,1670980598.861,93.0,15.0,0.0,83,73,53
52,1670980628.895,90.7,14.9,0.0,82,70,53
53,1670980658.924,89.4,14.8,0.0,79,68,52
54,1670980688.953,89.8,15.0,0.0,83,72,53
55,1670980718.983,88.5,14.8,0.0,84,73,53
56,1670980749.012,88.7,14.9,0.0,79,68,53
57,1670980779.043,88.7,15.0,0.0,85,74,53
58,1670980809.072,87.8,15.0,0.0,85,75,53
59,1670980839.101,88.1,14.8,0.0,83,71,53
60,1670980869.13,88.8,14.8,0.0,78,68,53
61,1670980899.166,89.2,14.9,0.0,77,67,53
62,1670980929.195,87.8,14.9,0.0,83,73,53
63,1670980959.224,87.7,14.9,0.0,81,71,53
64,1670980989.253,87.4,14.8,0.0,83,73,53
65,1670981019.291,86.9,14.8,0.0,78,68,53
66,1670981049.325,87.3,14.6,0.0,84,74,53
67,1670981079.362,85.8,14.5,0.0,84,73,53
68,1670981109.391,85.5,14.3,0.0,84,73,53
69,1670981139.425,85.0,14.3,0.0,84,73,53
70,1670981169.449,85.8,14.3,0.0,82,72,52
71,1670981199.485,85.6,14.4,0.0,82,72,53
72,1670981229.514,86.9,14.3,0.0,81,71,53
73,1670981259.543,86.4,14.4,0.0,78,68,53
74,1670981289.581,86.8,14.3,0.0,83,73,53
75,1670981319.61,86.7,14.3,0.0,84,73,53
76,1670981349.639,86.9,14.3,0.0,85,73,53
77,1670981379.668,86.8,14.5,0.0,83,73,53
78,1670981409.7,86.5,14.4,0.0,80,70,53
79,1670981439.729,85.0,14.0,0.0,84,73,53
80,1670981469.758,85.0,14.0,0.0,82,72,53
81,1670981499.787,84.9,14.0,0.0,92,78,53
82,1670981529.817,84.9,14.0,0.0,82,70,53
83,1670981559.846,85.0,14.0,0.0,84,74,53
84,1670981589.876,85.1,14.0,0.0,83,72,53
85,1670981619.91,85.0,14.0,0.0,84,74,53
86,1670981649.939,85.0,14.0,0.0,83,72,54
87,1670981679.968,85.0,14.0,0.0,85,74,54
88,1670981710.006,85.0,14.0,0.0,80,70,54
89,1670981740.035,85.0,14.0,0.0,81,71,54
90,1670981770.067,85.0,14.0,0.0,84,73,53
91,1670981800.106,85.0,14.0,0.0,84,73,53
92,1670981830.135,85.0,14.0,0.0,84,73,53
93,1670981860.164,85.0,14.0,0.0,84,73,53
94,1670981890.193,84.9,14.0,0.0,83,73,53
95,1670981920.221,84.9,14.0,0.0,80,69,53
96,1670981950.257,85.0,14.0,0.0,81,70,54
97,1670981980.286,85.1,14.0,0.0,80,69,54
98,1670982010.316,85.0,14.0,0.0,85,74,53
99,1670982040.345,85.0,14.0,0.0,81,70,54
