Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
0,1670978775.698,36.4,5.9,0.0,0,0,33,0,0,28
1,1670978805.727,28.0,6.6,0.0,85,58,50,0,0,28
2,1670978835.756,28.1,6.6,0.0,85,56,58,0,0,28
3,1670978865.785,28.1,6.6,0.0,92,65,64,0,0,28
4,1670978895.814,27.3,6.6,0.0,98,69,68,0,0,28
5,1670978925.843,16.4,7.7,0.0,97,69,71,0,0,28
6,1670978955.881,6.4,9.8,0.0,84,58,75,0,0,28
7,1670978985.91,13.3,10.3,0.0,87,55,76,0,0,28
9,1670979095.018,5.4,8.9,0.0,0,0,47,0,0,28
10,1670979125.055,12.7,10.2,0.0,87,60,63,0,0,29
11,1670979155.083,11.7,6.9,0.0,88,54,70,0,0,29
12,1670979185.111,7.2,9.2,0.0,87,59,77,0,0,29
13,1670979215.124,20.4,10.6,0.0,85,56,77,0,0,28
14,1670979245.152,27.4,13.2,0.0,87,59,76,0,0,28
15,1670979275.181,49.1,13.5,0.0,85,53,76,0,0,28
16,1670979305.209,52.9,14.5,0.0,87,60,75,0,0,28
17,1670979335.238,64.5,14.3,0.0,88,61,75,0,0,27
18,1670979365.267,64.6,15.0,0.0,85,58,74,0,0,27
19,1670979395.296,64.7,15.1,0.0,85,58,75,0,0,27
20,1670979425.325,64.1,15.0,0.0,85,55,74,0,0,27
21,1670979455.354,64.6,15.0,0.0,95,66,73,0,0,27
22,1670979485.382,64.4,15.0,0.0,93,65,74,0,0,27
23,1670979515.41,64.4,15.1,0.0,87,53,74,0,0,27
24,1670979545.439,64.1,15.1,0.0,91,63,74,0,0,27
25,1670979575.464,63.9,15.1,0.0,87,60,74,0,0,27
26,1670979605.493,64.0,15.0,0.0,93,65,71,0,0,27
27,1670979635.521,64.2,15.0,0.0,88,54,74,0,0,27
28,1670979665.55,64.1,15.1,0.0,92,64,75,0,0,27
29,1670979695.579,64.5,15.1,0.0,87,54,74,0,0,27
30,1670979725.607,64.5,15.1,0.0,84,55,73,0,0,27
31,1670979755.636,64.0,15.1,0.0,94,66,72,0,0,27
32,1670979785.665,64.1,15.0,0.0,88,53,73,0,0,27
33,1670979815.694,64.1,15.0,0.0,91,63,73,0,0,27
34,1670979845.718,64.7,15.5,0.0,0,0,66,0,0,27
35,1670979875.747,64.2,15.0,0.0,87,54,72,0,0,27
36,1670979905.776,63.9,15.1,0.0,83,55,73,0,0,27
37,1670979935.805,63.5,15.4,0.0,94,67,74,0,0,27
38,1670979965.834,64.0,15.0,0.0,88,54,74,0,0,27
39,1670979995.863,63.3,15.1,0.0,87,60,74,0,0,27
40,1670980025.866,63.9,15.2,0.0,88,53,72,0,0,27
41,1670980055.894,63.0,15.1,0.0,90,62,73,0,0,27
42,1670980085.923,64.0,15.2,0.0,88,55,74,0,0,27
43,1670980115.952,63.0,15.2,0.0,88,60,73,0,0,27
44,1670980145.968,63.3,15.0,0.0,95,66,74,0,0,27
45,1670980175.975,63.6,15.2,0.0,88,55,74,0,0,27
46,1670980206.004,62.0,15.0,0.0,86,59,73,0,0,27
47,1670980236.024,63.2,15.2,0.0,84,58,73,0,0,27
48,1670980266.053,62.1,15.1,0.0,94,66,72,0,0,27
49,1670980296.082,62.1,15.0,0.0,88,53,74,0,0,27
50,1670980326.11,61.1,15.0,0.0,84,58,74,0,0,27
51,1670980356.123,61.6,15.0,0.0,92,63,73,0,0,27
52,1670980386.151,61.3,15.0,0.0,95,67,75,0,0,27
53,1670980416.18,62.4,15.2,0.0,88,54,74,0,0,27
54,1670980446.209,62.0,15.0,0.0,85,58,74,0,0,27
55,1670980476.229,61.2,15.2,0.0,84,58,74,0,0,27
56,1670980506.258,60.7,15.2,0.0,93,65,73,0,0,27
57,1670980536.287,60.8,15.1,0.0,92,64,73,0,0,27
58,1670980566.316,60.0,15.0,0.0,87,56,73,0,0,27
59,1670980596.344,60.2,15.0,0.0,88,53,70,0,0,27
60,1670980626.373,59.7,15.0,0.0,85,55,75,0,0,27
61,1670980656.401,56.2,16.5,0.0,84,58,75,0,0,27
