Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
1670038543.769,7.7,35.1,0.0,94,52,74
1670038548.773,7.2,35.1,0.0,93,50,75
1670038553.777,7.1,35.1,0.0,90,50,75
1670038558.781,7.2,35.1,0.0,91,50,75
1670038563.785,7.1,35.1,0.0,93,51,75
1670038568.792,7.1,35.1,0.0,89,50,75
1670038573.801,7.4,35.1,0.0,90,49,75
1670038578.805,7.2,35.1,0.0,93,51,75
1670038583.809,7.1,35.1,0.0,93,51,75
1670038588.813,7.2,35.1,0.0,93,52,75
1670038593.817,7.1,35.1,0.0,85,47,75
1670038598.820,7.1,35.1,0.0,92,51,75
1670038603.823,7.3,35.1,0.0,93,51,75
1670038608.830,7.3,35.1,0.0,89,50,75
1670038613.833,7.1,35.1,0.0,87,48,75
1670038618.838,7.2,35.1,0.0,93,51,76
1670038623.842,7.1,35.1,0.0,93,51,75
1670038628.846,7.1,35.1,0.0,91,50,75
1670038633.850,7.3,35.1,0.0,93,52,75
1670038638.854,7.2,35.1,0.0,90,50,75
1670038643.859,7.1,35.1,0.0,92,51,75
1670038648.863,7.2,35.1,0.0,93,51,74
1670038653.867,7.2,35.1,0.0,89,50,75
1670038658.874,7.2,35.1,0.0,90,49,75
1670038663.878,7.3,35.1,0.0,93,51,75
1670038668.882,7.2,35.1,0.0,88,48,75
1670038673.886,7.1,35.1,0.0,91,50,75
1670038678.890,7.2,35.1,0.0,93,51,76
1670038683.894,7.1,35.1,0.0,89,50,75
1670038688.897,7.1,35.1,0.0,91,50,75
1670038693.900,7.4,35.1,0.0,93,51,75
1670038698.904,7.2,35.1,0.0,85,48,75
1670038703.908,7.1,35.1,0.0,93,52,75
1670038708.912,7.2,35.1,0.0,93,51,75
1670038713.916,7.1,35.1,0.0,92,51,76
1670038718.920,7.1,35.1,0.0,90,49,75
1670038723.924,7.4,35.1,0.0,93,51,75
1670038728.935,7.2,35.1,0.0,90,50,75
1670038733.944,7.1,35.1,0.0,86,47,74
1670038738.949,7.2,35.1,0.0,92,50,75
1670038743.953,7.1,35.1,0.0,89,49,75
1670038748.965,7.1,35.1,0.0,93,52,75
1670038753.969,7.4,35.1,0.0,93,50,75
1670038758.973,7.2,35.1,0.0,93,51,75
1670038763.984,7.1,35.1,0.0,93,52,74
1670038768.995,7.2,35.1,0.0,91,50,75
1670038774.000,7.2,35.1,0.0,93,51,75
1670038779.004,7.1,35.1,0.0,93,52,74
1670038784.008,7.4,35.1,0.0,93,51,75
1670038789.012,7.2,35.1,0.0,91,49,75
1670038794.016,7.1,35.1,0.0,92,51,75
1670038799.023,7.2,35.1,0.0,93,51,75
1670038804.027,7.1,35.1,0.0,92,51,75
1670038809.033,7.1,35.1,0.0,87,48,75
1670038814.037,7.4,35.1,0.0,93,51,74
1670038819.048,7.2,35.1,0.0,90,50,75
1670038824.052,7.2,35.1,0.0,90,49,75
1670038829.056,7.2,35.1,0.0,93,51,75
1670038834.060,7.1,35.1,0.0,92,51,75
1670038839.064,7.1,35.1,0.0,90,49,75
1670038844.067,7.8,35.1,0.0,92,51,75
1670038849.081,7.3,35.1,0.0,92,51,75
1670038854.087,7.2,35.1,0.0,87,47,75
1670038859.091,7.8,35.2,0.0,92,51,75
1670038864.103,7.4,35.2,0.0,93,51,75
1670038869.107,8.5,35.2,0.0,93,52,75
1670038874.111,8.4,35.2,0.0,92,51,75
1670038879.115,8.1,35.2,0.0,93,51,74
1670038884.119,7.1,35.2,0.0,92,51,74
1670038889.123,7.2,35.2,0.0,84,47,75
1670038894.127,7.1,35.2,0.0,92,51,75
1670038899.131,8.0,35.2,0.0,92,51,74
1670038904.135,9.4,35.2,0.0,93,51,75
1670038909.143,8.0,35.2,0.0,92,51,75
1670038914.153,7.1,35.2,0.0,92,51,74
1670038919.163,7.2,35.2,0.0,89,50,74
1670038924.171,7.1,35.2,0.0,93,52,74
1670038929.175,7.2,35.2,0.0,91,50,74
1670038934.179,8.6,35.3,0.0,93,51,74
1670038939.183,7.7,35.3,0.0,88,49,75
1670038944.187,7.1,35.3,0.0,93,52,75
1670038949.200,7.2,35.3,0.0,92,51,75
1670038954.204,7.1,35.3,0.0,93,51,75
1670038959.207,7.1,35.3,0.0,89,50,75
1670038964.218,7.3,35.2,0.0,90,49,74
1670038969.222,7.2,35.3,0.0,92,51,74
1670038974.226,7.1,35.3,0.0,93,51,74
1670038979.230,8.1,35.3,0.0,83,46,74
1670038984.234,7.1,35.3,0.0,90,49,75
1670038989.238,8.4,35.3,0.0,92,51,75
1670038994.243,8.9,35.3,0.0,90,50,74
1670038999.248,7.8,35.3,0.0,90,50,74
1670039004.252,7.5,35.3,0.0,93,50,74
1670039009.263,7.3,35.3,0.0,93,51,74
1670039014.266,7.1,35.3,0.0,90,50,74
1670039019.277,7.2,35.3,0.0,92,52,74
1670039024.281,7.7,35.2,0.0,86,47,75
1670039029.285,7.2,35.2,0.0,94,52,75
1670039034.289,7.1,35.2,0.0,93,51,75
1670039039.298,7.2,35.2,0.0,92,51,75
1670039044.309,7.1,35.2,0.0,93,52,75
1670039049.313,9.4,35.3,0.0,87,48,75
1670039054.317,21.7,35.3,0.0,87,48,75
1670039059.321,23.9,35.3,0.0,93,51,74
1670039064.335,23.8,35.3,0.0,93,52,75
1670039069.339,23.8,35.3,0.0,92,51,75
1670039074.343,23.8,35.4,0.0,92,51,75
1670039079.347,23.8,35.4,0.0,91,50,74
1670039084.351,23.7,35.4,0.0,91,51,75
1670039089.355,23.9,35.4,0.0,93,51,74
1670039094.358,23.8,35.4,0.0,92,49,74
1670039099.364,23.9,35.4,0.0,88,47,75
1670039104.367,23.8,35.4,0.0,17,10,73
1670039109.374,23.9,35.4,0.0,93,51,75
1670039114.378,23.7,35.4,0.0,93,51,74
1670039119.382,23.9,35.4,0.0,91,50,75
1670039124.386,23.8,35.4,0.0,93,51,75
1670039129.390,23.9,35.4,0.0,92,51,75
1670039134.394,23.8,35.4,0.0,92,51,74
1670039139.398,23.9,35.4,0.0,93,51,75
1670039144.409,21.0,35.4,0.0,93,52,74
1670039149.413,24.0,35.4,0.0,88,48,75
1670039154.420,23.8,35.4,0.0,93,51,75
1670039159.424,23.9,35.4,0.0,93,52,75
1670039164.428,23.8,35.4,0.0,93,51,74
1670039169.432,23.9,35.4,0.0,90,50,74
1670039174.443,23.9,35.4,0.0,93,52,74
1670039179.447,23.6,35.4,0.0,93,51,75
1670039184.458,23.8,35.4,0.0,90,50,75
1670039189.462,23.9,35.4,0.0,92,51,75
1670039194.466,23.8,35.4,0.0,93,51,75
1670039199.475,23.9,35.4,0.0,93,52,75
1670039204.479,23.9,35.4,0.0,93,51,75
1670039209.483,23.7,35.4,0.0,93,51,75
1670039214.491,23.7,35.4,0.0,92,51,75
1670039219.495,23.9,35.4,0.0,93,51,75
1670039224.499,23.8,35.4,0.0,92,51,75
1670039229.503,23.9,35.4,0.0,91,50,75
1670039234.508,23.9,35.4,0.0,93,51,75
1670039239.512,20.5,35.4,0.0,92,52,74
1670039244.516,23.8,35.4,0.0,90,49,74
1670039249.520,23.9,35.4,0.0,93,51,75
1670039254.524,23.8,35.4,0.0,93,52,75
1670039259.528,23.8,35.4,0.0,93,51,74
1670039264.532,24.0,35.4,0.0,93,51,75
1670039269.535,23.6,35.4,0.0,92,51,75
1670039274.538,23.8,35.4,0.0,93,51,75
1670039279.542,23.9,35.4,0.0,93,52,75
1670039284.546,23.8,35.4,0.0,91,50,75
1670039289.550,23.9,35.4,0.0,93,51,75
1670039294.554,23.9,35.4,0.0,89,49,75
1670039299.558,23.7,35.4,0.0,91,49,74
1670039304.563,23.7,35.4,0.0,93,52,74
1670039309.572,23.9,35.4,0.0,93,52,74
1670039314.576,23.8,35.4,0.0,92,51,75
1670039319.579,23.9,35.4,0.0,93,51,74
1670039324.583,23.9,35.4,0.0,93,52,75
1670039329.587,23.9,35.4,0.0,92,51,75
1670039334.593,10.2,35.4,0.0,89,50,75
1670039339.597,7.2,35.4,0.0,89,48,74
1670039344.603,7.1,35.4,0.0,93,52,75
1670039349.607,7.2,35.4,0.0,92,51,75
1670039354.611,7.3,35.4,0.0,92,50,75
1670039359.615,7.2,35.4,0.0,93,51,75
1670039364.621,7.1,35.4,0.0,93,52,75
1670039369.625,7.2,35.4,0.0,93,51,75
1670039374.628,7.1,35.4,0.0,93,51,74
1670039379.635,7.2,35.4,0.0,93,52,75
1670039384.639,7.3,35.4,0.0,92,51,74
1670039389.643,7.2,35.4,0.0,89,50,75
1670039394.646,7.1,35.4,0.0,91,49,75
1670039399.654,7.2,35.4,0.0,93,51,75
1670039404.661,7.1,35.4,0.0,93,52,75
1670039409.665,7.2,35.4,0.0,93,51,75
1670039414.670,7.2,35.4,0.0,93,51,75
1670039419.674,7.2,35.4,0.0,93,51,75
1670039424.678,7.1,35.4,0.0,92,50,75
1670039429.681,7.2,35.4,0.0,93,51,75
1670039434.685,7.1,35.4,0.0,93,52,74
1670039439.691,7.2,35.4,0.0,88,48,74
1670039444.702,7.3,35.4,0.0,93,52,75
1670039449.706,7.5,35.4,0.0,93,52,75
1670039454.710,7.1,35.4,0.0,93,51,74
1670039459.718,7.2,35.4,0.0,90,50,75
1670039464.721,7.1,35.4,0.0,93,52,74
1670039469.725,7.2,35.4,0.0,88,49,74
1670039474.729,7.3,35.4,0.0,93,51,74
1670039479.733,7.2,35.4,0.0,93,52,74
1670039484.748,7.1,35.4,0.0,93,51,75
1670039489.752,7.2,35.4,0.0,93,51,75
1670039494.756,7.1,35.4,0.0,93,52,75
1670039499.760,7.2,35.4,0.0,92,51,75
1670039504.768,7.2,35.4,0.0,90,50,75
1670039509.777,7.2,35.4,0.0,93,52,74
1670039514.781,7.1,35.4,0.0,87,48,74
1670039519.792,7.2,35.4,0.0,93,51,74
1670039524.796,7.1,35.4,0.0,92,51,75
1670039529.800,7.2,35.4,0.0,93,51,75
1670039534.804,7.3,35.4,0.0,93,51,74
1670039539.808,6.8,35.4,0.0,89,50,75
1670039544.812,6.5,35.4,0.0,91,49,74
1670039549.820,6.8,35.3,0.0,93,51,75
1670039554.827,8.1,35.4,0.0,93,52,75
1670039559.831,6.8,35.4,0.0,87,47,74
1670039564.835,6.9,35.4,0.0,92,51,74
1670039569.839,6.9,35.4,0.0,93,51,75
1670039574.843,6.8,35.4,0.0,93,52,75
1670039579.847,6.9,35.4,0.0,92,51,75
1670039584.851,6.7,35.4,0.0,93,51,75
1670039589.855,6.8,35.4,0.0,93,52,75
1670039594.859,6.9,35.4,0.0,93,51,74
1670039599.862,6.8,35.4,0.0,93,52,74
1670039604.873,6.7,35.4,0.0,93,52,74
