Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671149008.150,65.3,11.2,0.0,0,0,29,0,0,28
1671149038.179,65.3,12.0,0.0,0,0,37,0,0,31
1671149068.201,65.5,12.0,0.0,94,59,51,0,0,32
1671149098.236,71.5,12.2,0.0,90,61,58,0,0,33
1671149128.266,81.4,12.2,0.0,92,65,61,0,0,33
1671149158.277,82.1,12.2,0.0,93,60,64,0,0,34
1671149188.303,81.9,12.2,0.0,95,67,66,0,0,34
1671149218.332,75.7,12.2,0.0,94,69,68,0,0,34
1671149248.361,82.2,12.2,0.0,95,67,69,0,0,34
1671149278.372,83.9,12.1,0.0,90,62,68,0,0,34
1671149308.402,75.0,10.5,0.0,90,58,69,0,0,35
1671149338.430,47.2,10.4,0.0,93,61,72,0,0,35
1671149368.461,41.6,10.4,0.0,92,59,74,0,0,35
1671149398.490,41.4,10.4,0.0,94,67,75,0,0,35
Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671149440.625,43.2,9.7,0.0,0,0,26,0,0,57
1671149470.655,42.5,10.5,0.0,100,75,47,0,0,53
1671149500.657,42.3,10.5,0.0,98,77,57,0,0,49
1671149530.686,40.2,10.5,0.0,99,58,66,0,0,47
1671149560.712,42.0,10.5,0.0,99,61,74,0,0,45
1671149590.741,42.1,10.5,0.0,99,57,77,0,0,42
Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671149643.316,45.8,9.7,0.0,0,0,52,0,0,36
1671149673.345,42.8,10.4,0.0,99,65,69,0,0,35
1671149703.377,51.0,12.0,0.0,100,66,75,0,0,34
1671149733.415,64.0,12.0,0.0,100,63,76,0,0,32
1671149763.443,64.1,12.0,0.0,100,67,76,0,0,31
1671149793.472,63.3,12.0,0.0,100,63,76,0,0,30
1671149823.504,63.7,12.0,0.0,100,66,75,0,0,29
1671149853.534,63.5,11.8,0.0,97,78,75,0,0,29
1671149883.563,62.6,11.8,0.0,97,71,76,0,0,29
1671149913.592,64.7,11.8,0.0,98,77,76,0,0,29
1671149943.621,64.2,11.8,0.0,97,70,75,0,0,28
1671149973.650,62.1,11.8,0.0,96,75,76,0,0,28
1671150003.679,64.1,11.8,0.0,98,71,75,0,0,28
1671150033.708,61.9,11.8,0.0,100,63,76,0,0,28
1671150063.737,64.1,11.8,0.0,100,61,77,0,0,28
1671150093.767,63.3,11.8,0.0,100,63,76,0,0,28
1671150123.795,64.8,11.8,0.0,100,62,76,0,0,28
1671150153.819,63.2,11.8,0.0,100,64,75,0,0,28
1671150183.850,63.1,11.8,0.0,100,64,73,0,0,28
1671150213.880,63.7,11.8,0.0,100,63,76,0,0,28
1671150243.909,63.8,11.8,0.0,99,55,77,0,0,28
1671150273.938,63.2,11.8,0.0,100,56,76,0,0,28
1671150303.967,66.3,15.2,0.0,99,59,76,0,0,28
1671150333.983,66.1,15.5,0.0,99,55,75,0,0,28
1671150364.003,66.0,15.4,0.0,0,0,70,0,0,28
1671150394.033,66.6,15.6,0.0,99,56,76,0,0,28
1671150424.061,64.8,15.6,0.0,100,73,76,0,0,28
1671150454.091,64.6,15.6,0.0,99,60,76,0,0,28
1671150484.119,66.5,15.6,0.0,100,73,75,0,0,28
1671150514.147,67.0,15.7,0.0,100,70,76,0,0,28
1671150544.148,64.8,15.6,0.0,52,38,74,0,0,28
Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671153784.400,75.6,9.6,0.0,0,0,28,0,0,29
1671153814.429,75.6,10.3,0.0,99,61,44,0,0,29
1671153844.457,75.7,10.3,0.0,98,71,55,0,0,29
1671153874.486,75.9,10.3,0.0,100,62,62,0,0,29
1671153904.515,75.7,10.3,0.0,97,66,67,0,0,29
Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671154380.214,78.9,11.7,0.0,0,0,28,0,0,28
1671154410.243,76.1,12.3,0.0,7,5,44,0,0,27
1671154440.272,77.1,12.5,0.0,99,60,57,0,0,27
1671154470.301,76.7,12.4,0.0,96,65,64,0,0,28
1671154500.330,77.3,12.5,0.0,100,68,68,0,0,28
