Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671150453.600,60.8,13.0,0.0,100,45,61,0,0,32
1671150483.628,61.3,13.3,0.0,100,45,62,0,0,32
1671150513.657,60.4,13.5,0.0,94,67,61,0,0,32
1671150543.679,60.6,13.7,0.0,98,39,63,0,0,32
1671150573.708,61.5,13.7,0.0,100,45,61,0,0,32
1671150603.720,61.2,13.7,0.0,98,41,63,0,0,32
1671150633.722,61.2,13.7,0.0,93,66,62,0,0,32
1671150663.753,61.7,14.0,0.0,98,36,63,0,0,32
1671150693.780,60.6,14.3,0.0,99,47,62,0,0,32
1671150723.808,61.4,14.4,0.0,100,42,63,0,0,32
1671150753.839,61.3,14.4,0.0,94,67,63,0,0,32
1671150783.866,60.8,14.4,0.0,100,47,63,0,0,32
1671150813.895,61.4,14.4,0.0,94,64,63,0,0,32
1671150843.924,61.4,14.4,0.0,100,44,63,0,0,32
1671150873.953,60.9,14.7,0.0,100,46,62,0,0,32
1671150903.982,60.5,14.9,0.0,100,53,63,0,0,32
1671150934.011,61.4,15.2,0.0,100,46,63,0,0,32
1671150964.016,60.8,15.2,0.0,100,45,63,0,0,32
1671150994.018,60.5,15.2,0.0,100,46,63,0,0,32
1671151024.044,60.4,15.2,0.0,100,53,63,0,0,32
1671151054.073,61.1,15.2,0.0,100,46,63,0,0,32
1671151084.102,38.3,13.6,0.0,99,35,63,0,0,32
1671151114.131,32.7,13.7,0.0,94,70,63,0,0,32
1671151144.149,32.5,14.0,0.0,100,47,63,0,0,32
1671151174.178,32.1,14.2,0.0,99,45,63,0,0,32
1671151204.207,31.6,14.3,0.0,100,46,63,0,0,32
1671151234.235,31.7,14.3,0.0,100,46,63,0,0,32
1671151264.264,32.5,14.3,0.0,100,53,64,0,0,32
1671151294.293,32.7,14.3,0.0,100,46,62,0,0,32
1671151324.322,32.8,14.3,0.0,100,43,63,0,0,32
1671151354.351,32.1,14.3,0.0,100,46,61,0,0,32
1671151384.380,32.6,14.3,0.0,99,37,63,0,0,32
1671151414.409,33.4,14.4,0.0,100,53,63,0,0,32
1671151444.427,32.2,14.7,0.0,100,47,63,0,0,32
1671151474.456,32.3,14.9,0.0,100,41,63,0,0,32
1671151504.485,31.9,15.0,0.0,95,57,63,0,0,32
1671151534.514,31.7,15.0,0.0,100,46,63,0,0,32
1671151564.540,31.5,15.0,0.0,100,49,63,0,0,32
1671151594.568,31.5,15.0,0.0,95,70,63,0,0,32
1671151624.597,32.1,15.0,0.0,100,45,63,0,0,32
1671151654.626,31.7,15.0,0.0,99,44,63,0,0,32
1671151684.659,31.8,15.0,0.0,99,50,60,0,0,32
1671151714.680,32.2,15.0,0.0,100,42,62,0,0,32
1671151744.709,31.9,15.1,0.0,100,53,62,0,0,32
1671151774.719,32.0,15.3,0.0,100,46,63,0,0,32
1671151804.748,31.9,15.6,0.0,99,38,63,0,0,32
1671151834.777,32.5,15.8,0.0,100,46,62,0,0,32
1671151864.776,32.6,15.8,0.0,100,41,63,0,0,32
1671151894.795,31.6,15.8,0.0,95,64,63,0,0,32
1671151924.824,32.5,15.8,0.0,100,47,62,0,0,32
1671151954.853,32.0,15.8,0.0,99,39,62,0,0,32
1671151984.882,31.6,15.8,0.0,94,67,62,0,0,32
1671152014.911,31.1,15.8,0.0,100,47,62,0,0,32
1671152044.940,33.0,15.8,0.0,100,47,62,0,0,32
1671152074.968,32.8,15.8,0.0,100,45,61,0,0,32
1671152104.997,32.4,15.8,0.0,100,46,62,0,0,31
1671152135.025,32.2,15.9,0.0,100,53,62,0,0,32
1671152165.054,31.0,16.1,0.0,100,47,62,0,0,32
1671152195.083,31.9,16.4,0.0,100,43,62,0,0,32
1671152225.112,33.2,16.5,0.0,95,62,62,0,0,32
1671152255.141,32.0,16.5,0.0,100,46,62,0,0,32
1671152285.170,31.0,16.5,0.0,99,37,62,0,0,32
1671152315.199,32.6,16.4,0.0,100,47,62,0,0,32
1671152345.214,32.5,16.4,0.0,100,47,62,0,0,32
1671152375.243,33.6,16.4,0.0,94,69,62,0,0,32
1671152405.272,31.7,16.4,0.0,100,47,62,0,0,32
1671152435.301,33.4,16.4,0.0,100,53,62,0,0,32
1671152465.330,31.9,16.4,0.0,95,68,61,0,0,32
1671152495.359,31.9,16.4,0.0,100,44,62,0,0,32
1671152525.388,31.7,16.4,0.0,100,53,62,0,0,32
1671152555.402,32.0,16.6,0.0,100,47,61,0,0,32
1671152585.430,31.4,16.8,0.0,99,40,62,0,0,32
1671152615.459,30.9,17.1,0.0,94,70,62,0,0,32
1671152645.488,31.7,17.1,0.0,100,46,62,0,0,32
1671152675.517,32.5,17.1,0.0,99,41,62,0,0,32
1671152705.546,31.6,17.1,0.0,99,70,62,0,0,32
1671152735.575,31.9,17.1,0.0,100,46,62,0,0,32
1671152765.604,31.4,17.1,0.0,97,41,61,0,0,32
1671152795.633,33.5,17.2,0.0,99,36,62,0,0,32
1671152825.662,32.2,17.2,0.0,100,53,62,0,0,32
1671152855.691,30.7,17.2,0.0,100,47,62,0,0,32
1671152885.720,33.1,17.2,0.0,100,41,62,0,0,32
1671152915.720,32.2,17.2,0.0,95,57,62,0,0,32
1671152945.749,31.1,17.2,0.0,100,46,62,0,0,31
1671152975.764,32.0,17.2,0.0,100,51,62,0,0,32
1671153005.778,31.3,17.2,0.0,94,69,61,0,0,32
1671153035.807,32.0,17.5,0.0,100,46,62,0,0,32
1671153065.836,32.3,17.8,0.0,100,53,62,0,0,32
1671153095.845,31.8,17.9,0.0,100,46,62,0,0,32
1671153125.874,31.8,17.9,0.0,99,41,62,0,0,32
1671153155.902,31.9,17.9,0.0,94,71,62,0,0,32
1671153185.931,32.9,17.9,0.0,100,46,62,0,0,32
1671153215.960,32.4,17.9,0.0,99,41,62,0,0,32
1671153245.989,32.1,17.9,0.0,97,40,62,0,0,32
1671153276.018,11.4,16.3,0.0,100,45,62,0,0,32
1671153306.047,8.5,16.3,0.0,100,45,62,0,0,32
1671153336.076,8.6,16.3,0.0,97,70,62,0,0,32
1671153366.105,8.6,16.3,0.0,100,46,62,0,0,32
1671153396.129,8.5,16.3,0.0,100,45,62,0,0,32
1671153426.158,8.6,16.3,0.0,100,53,62,0,0,32
1671153456.187,8.8,16.3,0.0,97,55,62,0,0,32
1671153486.216,8.7,16.3,0.0,100,46,62,0,0,32
1671153516.244,8.6,16.5,0.0,100,42,62,0,0,32
1671153546.273,8.4,16.8,0.0,100,42,62,0,0,31
1671153576.302,8.7,17.0,0.0,97,63,62,0,0,32
1671153606.331,8.4,17.0,0.0,100,46,62,0,0,32
1671153636.360,8.7,17.0,0.0,100,46,62,0,0,32
1671153666.389,8.7,17.0,0.0,100,44,62,0,0,32
1671153696.418,8.4,17.0,0.0,100,53,62,0,0,31
1671153726.427,8.8,17.0,0.0,100,46,61,0,0,31
1671153756.453,8.5,17.0,0.0,100,42,62,0,0,32
1671153786.483,8.7,17.0,0.0,100,53,62,0,0,32
1671153816.510,8.6,17.0,0.0,97,72,62,0,0,32
1671153846.531,8.4,17.0,0.0,100,47,62,0,0,32
1671153876.560,8.6,17.0,0.0,100,47,62,0,0,32
1671153906.589,8.5,17.0,0.0,100,44,62,0,0,31
1671153936.618,8.6,17.0,0.0,97,72,62,0,0,31
1671153966.646,7.9,16.3,0.0,100,46,62,0,0,32
1671153996.675,5.3,16.3,0.0,100,46,62,0,0,31
1671154026.704,5.3,16.3,0.0,100,51,62,0,0,32
1671154056.733,5.3,16.6,0.0,100,53,62,0,0,32
1671154086.762,5.3,16.9,0.0,100,45,61,0,0,32
1671154116.791,5.3,17.0,0.0,100,44,62,0,0,32
1671154146.820,5.6,17.1,0.0,99,39,62,0,0,32
1671154176.849,5.5,17.0,0.0,97,56,62,0,0,32
1671154206.878,5.4,17.0,0.0,100,45,61,0,0,31
1671154236.907,5.2,17.0,0.0,100,46,62,0,0,32
1671154266.936,5.3,17.0,0.0,100,45,61,0,0,32
1671154296.965,5.2,17.0,0.0,100,53,62,0,0,32
1671154326.993,5.2,17.0,0.0,100,45,61,0,0,32
1671154357.022,5.2,17.0,0.0,100,43,62,0,0,32
1671154387.035,5.3,17.0,0.0,100,51,62,0,0,32
1671154417.063,5.2,17.0,0.0,97,52,62,0,0,32
1671154447.091,5.3,17.0,0.0,100,45,60,0,0,32
1671154477.120,5.2,17.0,0.0,100,45,62,0,0,31
1671154507.147,5.3,17.0,0.0,99,37,62,0,0,31
